model,score,num_boost_round,epochs,batch_size,lr
XGBoost Regressor,1714.0885040899527,1488.0,,,
LightGBM Regressor,1852.0992014839794,1262.0,,,
LightGBM Regressor,1858.5788405835503,1600.0,,,
LightGBM Regressor,1830.9841334583552,836.0,,,
LightGBM Regressor,1817.1534729539367,653.0,,,
LightGBM Regressor,1828.5170805160571,812.0,,,
LightGBM Regressor,1808.5900198942966,537.0,,,
LightGBM Regressor,1852.2908571961614,1332.0,,,
MLP Regressor,24284.257553824547,,130.0,256.0,0.0003
LightGBM Regressor,1851.8795211709887,1293.0,,,
LightGBM Regressor,1851.9871715880265,1295.0,,,
LightGBM Regressor,1860.0498854509408,1757.0,,,
LightGBM Regressor,1855.8618043059334,1474.0,,,
LightGBM Regressor,1851.5775912490801,1277.0,,,
Logistic Regressor,24295.677440561587,,180.0,256.0,0.0003
Logistic Regressor,24295.71223418252,,180.0,128.0,0.0003
LightGBM Regressor,1781.883031063763,333.0,,,
LightGBM Regressor,1837.541632779585,968.0,,,
LightGBM Regressor,1856.5470255143337,1524.0,,,
LightGBM Regressor,1859.8940674578068,1798.0,,,
Logistic Regressor,24294.30829072704,,180.0,128.0,0.003
Logistic Regressor,24294.287917533333,,180.0,128.0,0.003
Logistic Regressor,24295.141234729,,100.0,128.0,0.003
Logistic Regressor,24293.088745039517,,310.0,128.0,0.003
FNN Regressor,24292.79196413528,,130.0,16.0,0.0003
FNN Regressor,24287.49632572216,,130.0,16.0,0.001
FNN Regressor,24287.85935906538,,130.0,32.0,0.001
FNN Regressor,24287.83480516868,,130.0,64.0,0.001
FNN Regressor,23803.12428368871,,130.0,64.0,0.01
FNN Regressor,23982.349523650948,,130.0,64.0,0.01
XGBoost Regressor,1714.0868310477333,1175.0,,,
XGBoost Regressor,1714.0907726046107,1912.0,,,
XGBoost Regressor,1714.089226107134,1623.0,,,
XGBoost Regressor,1714.0906120149032,1882.0,,,
XGBoost Regressor,1714.0864357018982,1101.0,,,
XGBoost Regressor,1714.7243436291997,215.0,,,
Logistic Regressor,24291.55306831114,,470.0,128.0,0.003
Logistic Regressor,24292.522830321475,,360.0,128.0,0.003
MLP Regressor,24286.782978088206,,130.0,128.0,0.0003
MLP Regressor,24285.859821404454,,130.0,128.0,0.0003
MLP Regressor,24287.428888672788,,130.0,256.0,0.0003
LightGBM Regressor,1853.7882286982538,1389.0,,,
LightGBM Regressor,1831.0389233733072,847.0,,,
LightGBM Regressor,1859.8891652448763,1803.0,,,
LightGBM Regressor,1858.4860419288864,1624.0,,,
Logistic Regressor,24292.49258070839,,360.0,128.0,0.003
Logistic Regressor,24294.55335568328,,360.0,128.0,0.001
Logistic Regressor,24295.68022138828,,360.0,128.0,0.0001
Logistic Regressor,24295.577782243647,,360.0,128.0,0.0001
XGBoost Regressor,1714.0859763409146,1015.0,,,
XGBoost Regressor,1714.083916183085,645.0,,,
XGBoost Regressor,1714.086141912755,1046.0,,,
XGBoost Regressor,1714.0861205479011,1042.0,,,
XGBoost Regressor,1714.0884238813535,1473.0,,,
XGBoost Regressor,1714.0836164635184,676.0,,,
XGBoost Regressor,1714.0891779648268,1614.0,,,
XGBoost Regressor,1714.0841155650573,711.0,,,
XGBoost Regressor,1714.0802386929736,559.0,,,
XGBoost Regressor,1714.0813820709147,494.0,,,
XGBoost Regressor,1724.600374058452,55.0,,,
XGBoost Regressor,1714.0844667098659,730.0,,,
Logistic Regressor,24295.58908842028,,220.0,128.0,0.0001
Logistic Regressor,24295.77578820584,,220.0,32.0,0.0001
Logistic Regressor,24295.94723065154,,240.0,32.0,0.0001
FNN Regressor,23991.84608869186,,130.0,64.0,0.01
FNN Regressor,23966.979322975396,,130.0,128.0,0.01
FNN Regressor,22766.63228111632,,260.0,128.0,0.01
FNN Regressor,24246.33508092985,,50.0,128.0,0.01
XGBoost Regressor,1714.0894077912558,476.0,,,
XGBoost Regressor,1714.0856986372992,963.0,,,
XGBoost Regressor,1714.0904086191113,1844.0,,,
XGBoost Regressor,1714.0898627605623,1742.0,,,
XGBoost Regressor,1714.086045772652,1028.0,,,
XGBoost Regressor,1717.4336802181363,140.0,,,
FNN Regressor,23976.105485860364,,50.0,128.0,0.03
FNN Regressor,23365.875186341105,,80.0,128.0,0.03
FNN Regressor,23300.49749542247,,80.0,32.0,0.03
FNN Regressor,13097.445900014069,,260.0,32.0,0.03
FNN Regressor,23295.162956909764,,70.0,32.0,0.03
FNN Regressor,23249.36882472121,,70.0,16.0,0.03
FNN Regressor,23696.341480107487,,60.0,16.0,0.03
FNN Regressor,23744.165444856008,,60.0,16.0,0.03
FNN Regressor,17980.16580497277,,190.0,16.0,0.03
FNN Regressor,18292.236658239883,,200.0,16.0,0.03
FNN Regressor,23438.825795257715,,200.0,16.0,0.01
XGBoost Regressor,1714.0785852783577,486.0,,,
XGBoost Regressor,1714.086766932462,1163.0,,,
XGBoost Regressor,1714.0775621435178,506.0,,,
LightGBM Regressor,1860.323556382685,1863.0,,,
LightGBM Regressor,1857.121231327131,1567.0,,,
LightGBM Regressor,1835.2931622716665,921.0,,,
LightGBM Regressor,1860.2436399850394,1779.0,,,
LightGBM Regressor,1854.4314996818193,1437.0,,,
Logistic Regressor,24295.59678690424,,240.0,32.0,0.0003
Logistic Regressor,24295.21072611644,,440.0,32.0,0.0003
Logistic Regressor,24295.22262168994,,440.0,64.0,0.0003
Logistic Regressor,24295.45040623483,,440.0,128.0,0.0003
Logistic Regressor,24291.74362981417,,440.0,128.0,0.003
Logistic Regressor,24291.94718611018,,440.0,32.0,0.003
