model,score,num_boost_round,epochs,batch_size,lr
XGBoost Regressor,4466.576850044456,1650.0,,,
XGBoost Regressor,4466.585589878888,1659.0,,,
XGBoost Regressor,4466.424273340208,1369.0,,,
XGBoost Regressor,4461.304697475146,498.0,,,
XGBoost Regressor,4450.478697900378,194.0,,,
XGBoost Regressor,4464.2896968902105,731.0,,,
XGBoost Regressor,4457.9228106464625,413.0,,,
XGBoost Regressor,4459.735169064696,542.0,,,
XGBoost Regressor,4466.095077221779,925.0,,,
XGBoost Regressor,4466.52279722054,1461.0,,,
XGBoost Regressor,4466.553943435535,1928.0,,,
XGBoost Regressor,4466.560678896216,1609.0,,,
MLP Regressor,8101.198376352963,,150.0,32.0,0.003
Logistic Regressor,10111.831908284395,,450.0,32.0,0.01
Logistic Regressor,11420.83914619398,,360.0,32.0,0.01
Logistic Regressor,10272.025616648718,,360.0,128.0,0.01
Logistic Regressor,13002.472954414281,,360.0,128.0,0.01
Logistic Regressor,10516.416648754424,,360.0,32.0,0.01
MLP Regressor,7965.589852088312,,260.0,32.0,0.003
MLP Regressor,7918.893524754341,,260.0,32.0,0.003
MLP Regressor,7723.374931833468,,260.0,32.0,0.003
MLP Regressor,8132.144064403995,,260.0,32.0,0.001
MLP Regressor,21121.721904167578,,260.0,32.0,0.0001
MLP Regressor,15282.210114998337,,410.0,32.0,0.0001
MLP Regressor,15713.847344652011,,330.0,32.0,0.0001
MLP Regressor,8069.567518207166,,330.0,32.0,0.001
MLP Regressor,8002.153888444888,,330.0,32.0,0.001
MLP Regressor,8107.254210739228,,330.0,32.0,0.001
FNN Regressor,77347.64027148993,,70.0,16.0,0.0003
FNN Regressor,77346.93572589515,,70.0,64.0,0.0003
FNN Regressor,77346.00146794747,,190.0,64.0,0.0003
MLP Regressor,7756.425306542619,,380.0,32.0,0.001
MLP Regressor,10112.584478593413,,380.0,32.0,0.0003
XGBoost Regressor,4466.3272816225945,1258.0,,,
XGBoost Regressor,4466.488002732756,1398.0,,,
XGBoost Regressor,4466.557763626231,1702.0,,,
XGBoost Regressor,4466.538570152305,1555.0,,,
XGBoost Regressor,4465.06851228236,833.0,,,
XGBoost Regressor,4460.747867372184,487.0,,,
XGBoost Regressor,4478.9797977943,86.0,,,
XGBoost Regressor,4465.20023019047,811.0,,,
XGBoost Regressor,4465.445582636045,856.0,,,
XGBoost Regressor,4441.0342524587595,206.0,,,
XGBoost Regressor,4470.809651160364,99.0,,,
XGBoost Regressor,4455.281792785162,237.0,,,
XGBoost Regressor,4462.443504699291,645.0,,,
XGBoost Regressor,4466.557606755436,1538.0,,,
XGBoost Regressor,4460.814371385592,573.0,,,
Logistic Regressor,11651.554079280566,,430.0,32.0,0.01
Logistic Regressor,19024.814770209963,,430.0,32.0,0.003
Logistic Regressor,23038.545055409617,,290.0,32.0,0.003
Logistic Regressor,41305.07489239137,,130.0,32.0,0.003
Logistic Regressor,31080.454228398015,,130.0,32.0,0.003
Logistic Regressor,86051.11069518159,,130.0,32.0,0.0003
Logistic Regressor,88417.0345694627,,50.0,32.0,0.0003
XGBoost Regressor,4463.259930064474,626.0,,,
XGBoost Regressor,4466.379619528144,954.0,,,
XGBoost Regressor,4466.219890009414,1062.0,,,
XGBoost Regressor,4451.5752162534145,178.0,,,
XGBoost Regressor,4466.361717006305,1145.0,,,
XGBoost Regressor,4465.4769036960115,892.0,,,
FNN Regressor,77348.132099208,,50.0,64.0,0.0003
FNN Regressor,77348.05681207794,,50.0,16.0,0.0003
LightGBM Regressor,3951.838793734317,1652.0,,,
XGBoost Regressor,4466.447264959955,1373.0,,,
XGBoost Regressor,4466.520979113285,1431.0,,,
XGBoost Regressor,4466.542313987699,1826.0,,,
XGBoost Regressor,4466.276352539158,956.0,,,
XGBoost Regressor,4466.570385822909,1527.0,,,
XGBoost Regressor,4466.522949842147,1448.0,,,
XGBoost Regressor,4466.436239887575,1371.0,,,
XGBoost Regressor,4465.034912095356,756.0,,,
XGBoost Regressor,4466.337189465892,1256.0,,,
