model,score,epochs,batch_size,lr,num_boost_round
FNN Regressor,4.380043749413175,420.0,16.0,0.001,
FNN Regressor,8.661521461198229,300.0,16.0,0.001,
FNN Regressor,0.6269874351723611,300.0,16.0,0.01,
FNN Regressor,0.6505223009438458,300.0,32.0,0.01,
FNN Regressor,0.904715553542135,140.0,32.0,0.01,
FNN Regressor,3.9261330701719532,70.0,32.0,0.01,
FNN Regressor,3.2280038157137954,70.0,16.0,0.01,
FNN Regressor,0.650286921452037,170.0,16.0,0.01,
FNN Regressor,21.12436554962236,170.0,16.0,0.0003,
FNN Regressor,20.18327820200842,290.0,16.0,0.0003,
FNN Regressor,20.98504825015549,220.0,16.0,0.0003,
FNN Regressor,20.538647018266932,220.0,16.0,0.0003,
FNN Regressor,1.6106757125659594,220.0,16.0,0.003,
FNN Regressor,0.6137701314479538,220.0,16.0,0.03,
MLP Regressor,4.417079035692897,120.0,32.0,0.003,
MLP Regressor,4.209902363717825,120.0,32.0,0.003,
MLP Regressor,3.849174538953115,220.0,32.0,0.003,
MLP Regressor,4.311562320600721,220.0,32.0,0.0003,
MLP Regressor,4.7038914300679515,220.0,128.0,0.0003,
FNN Regressor,0.5900945824691409,220.0,16.0,0.03,
FNN Regressor,0.6058510631924138,220.0,32.0,0.03,
FNN Regressor,3.0458970568083106,70.0,32.0,0.03,
FNN Regressor,2.612817113512694,70.0,64.0,0.03,
Logistic Regressor,27.128542752192484,190.0,64.0,0.003,
Logistic Regressor,18.514564087639062,190.0,16.0,0.003,
Logistic Regressor,14.569219650454366,190.0,16.0,0.01,
Logistic Regressor,46.160884626115575,190.0,16.0,0.001,
Logistic Regressor,25.14950751724998,190.0,16.0,0.003,
Logistic Regressor,24.714278574461737,190.0,16.0,0.003,
LightGBM Regressor,0.5130057405018205,,,,567.0
MLP Regressor,4.2115096525247715,220.0,64.0,0.0003,
MLP Regressor,4.389419491374685,220.0,128.0,0.0003,
MLP Regressor,3.8057108426918482,220.0,128.0,0.001,
MLP Regressor,7.192667703603461,220.0,128.0,0.0001,
MLP Regressor,10.053719502245555,220.0,128.0,0.0001,
MLP Regressor,4.234398221205975,220.0,128.0,0.0003,
MLP Regressor,4.202666849344968,260.0,128.0,0.0003,
LightGBM Regressor,0.4614679817463052,,,,1489.0
