model,score,num_boost_round,epochs,batch_size,lr
LightGBM Regressor,36931.34511624179,154.0,,,
LightGBM Regressor,30996.86266501677,261.0,,,
LightGBM Regressor,33548.50513774756,219.0,,,
LightGBM Regressor,15139.821933015348,942.0,,,
FNN Regressor,49899.96875856079,,170.0,32.0,0.03
FNN Regressor,50581.70792057034,,170.0,32.0,0.03
FNN Regressor,50121.96218779551,,170.0,128.0,0.03
FNN Regressor,50392.223067391475,,170.0,32.0,0.03
MLP Regressor,50410.96765217129,,160.0,64.0,0.0003
MLP Regressor,50389.78488588422,,160.0,128.0,0.0003
MLP Regressor,50385.88809689103,,210.0,128.0,0.0003
MLP Regressor,50365.198599568146,,210.0,256.0,0.0003
MLP Regressor,50383.97986590859,,210.0,64.0,0.0003
LightGBM Regressor,42619.62498305931,64.0,,,
LightGBM Regressor,17980.019019548497,722.0,,,
LightGBM Regressor,18593.790701218815,685.0,,,
LightGBM Regressor,12362.025799437233,1312.0,,,
LightGBM Regressor,10318.948536695463,1796.0,,,
LightGBM Regressor,13198.577351834163,1167.0,,,
LightGBM Regressor,28692.16700569779,312.0,,,
FNN Regressor,49289.025565338816,,290.0,32.0,0.03
FNN Regressor,50324.59143104427,,400.0,32.0,0.03
FNN Regressor,50471.447065996115,,400.0,32.0,0.001
FNN Regressor,50469.84540699511,,400.0,128.0,0.001
FNN Regressor,50466.87975901081,,400.0,256.0,0.001
FNN Regressor,50475.662456709244,,400.0,128.0,0.001
FNN Regressor,50470.255548973844,,400.0,64.0,0.001
FNN Regressor,50491.01930897863,,400.0,64.0,0.0001
FNN Regressor,50475.247294731766,,400.0,64.0,0.001
FNN Regressor,50491.234632344254,,400.0,64.0,0.0001
FNN Regressor,50490.88042712574,,400.0,32.0,0.0001
FNN Regressor,50491.219502880704,,400.0,32.0,0.0001
FNN Regressor,50489.057301867535,,400.0,32.0,0.0003
Logistic Regressor,50394.05999571798,,310.0,16.0,0.01
Logistic Regressor,50395.65979557263,,310.0,32.0,0.01
Logistic Regressor,50459.62456579076,,310.0,32.0,0.003
Logistic Regressor,50480.11361708024,,310.0,32.0,0.001
Logistic Regressor,50485.347823186945,,320.0,32.0,0.001
FNN Regressor,50490.354930409696,,230.0,32.0,0.0003
XGBoost Regressor,3426.6033862984464,1335.0,,,
