0,1,2,3,4,5
403.0,2.0,1.0,0.0,43.5942563,-79.6029457
461.0,1.0,1.0,0.0,43.6469441,-79.3923973
283.0,1.0,1.0,0.0,43.6489001,-79.392205
487.0,1.0,1.0,0.0,44.5007687,-80.2169047
6.0,1.0,1.0,1.0,43.9514277,-78.294416
308.0,2.0,2.0,0.0,43.853914200000006,-79.3381945
424.0,2.0,2.0,0.0,43.6505597,-79.38207220000001
202.0,2.0,3.0,0.0,43.648953000000006,-79.3857683
433.0,2.0,2.0,0.0,43.6601367,-79.3858692
87.0,1.0,1.0,0.0,43.6774284,-79.45790720000001
236.0,1.0,2.0,1.0,43.627447100000005,-79.4783741
109.0,3.0,2.0,0.0,43.641012200000006,-79.3949476
315.0,3.0,2.5,0.0,43.965673,-78.1577347
267.0,1.0,1.0,0.0,43.6655881,-79.383028
426.0,2.0,1.0,0.0,43.3289855,-79.80861829999999
313.0,1.0,1.0,0.0,43.6576911,-79.3801612
295.0,2.0,1.0,0.0,43.6519582,-79.3688547
31.0,1.0,1.0,1.0,43.5897603,-79.6484562
135.0,1.0,1.0,0.0,43.8751012,-79.4377534
299.0,1.0,1.0,0.0,43.588602,-79.63170040000001
56.0,1.0,1.0,0.0,43.6578373,-79.38060870000001
332.0,2.0,2.0,0.0,43.5816391,-79.648193
269.0,2.0,2.0,0.0,43.647870000000005,-79.391138
545.0,2.0,2.0,0.0,43.85631,-79.3286298
290.0,1.0,1.0,1.0,43.6426791,-79.3769938
247.0,2.0,1.0,0.0,43.705123,-79.5300905
359.0,2.0,2.0,0.0,43.6527574,-79.3665108
498.0,2.0,2.0,0.0,43.643207700000005,-79.39211
262.0,1.0,1.0,0.0,43.653075,-79.37017900000001
11.0,2.0,1.0,0.0,43.3267271,-79.8021823
271.0,1.0,1.0,1.0,43.7957594,-79.5204723
127.0,2.0,2.0,0.0,43.6410868,-79.3814048
423.0,2.0,2.0,0.0,43.6505597,-79.38207220000001
20.0,1.0,1.0,1.0,43.6629771,-79.386217
154.0,2.0,2.0,0.0,43.6667515,-79.37623549999999
469.0,1.0,1.0,0.0,43.6541547,-79.3852113
460.0,1.0,1.0,0.0,43.6469441,-79.3923973
137.0,1.0,1.0,0.0,43.65221029999999,-79.3707988
481.0,1.0,1.5,1.0,43.66053970000001,-79.37866170000001
374.0,1.0,1.0,0.0,43.682692,-79.4888656
277.0,2.0,2.0,0.0,43.642282,-79.38282650000001
343.0,2.0,1.0,0.0,43.7486405,-79.4371391
94.0,1.0,1.0,0.0,43.682588,-79.417815
317.0,2.0,1.0,0.0,43.4443781,-79.68306700000001
