,trees,max_depth,min_samples,feature_subset_size,RMSE,Std. Dev.,R_squared
0,100,50,10,9,4395.917084261373,28029.34917759681,0.9754035201741506
1,100,50,10,9,4397.57897988719,28029.34917759681,0.9753849190457524
2,100,50,10,9,4389.30864519281,28029.34917759681,0.9754774170005068
3,100,50,10,9,4348.000855000989,28029.34917759681,0.9759368092403513
4,100,50,10,9,4352.010327668103,28029.34917759681,0.9758924094376412
5,100,50,10,9,4350.293162401395,28029.34917759681,0.97591142986597
6,100,50,10,9,4364.436265155892,28029.34917759681,0.9757545480612143
7,100,50,10,9,4304.168578627697,28029.34917759681,0.9764195267069918
8,100,50,10,9,4400.760226387732,28029.34917759681,0.9753492926411541
9,100,50,10,9,4295.061774805992,28029.34917759681,0.9765192047576714
