,n_neighbors,weights,leaf_size,RMSE,Std. Dev.,R-Squared
0,5,uniform,10,21440.928950186215,{np.float64(35513.738377286485)},0.6355026179970056
1,5,uniform,30,21440.920460842575,{np.float64(35513.738377286485)},0.635502906635891
2,5,uniform,50,21440.920460842575,{np.float64(35513.738377286485)},0.635502906635891
3,5,distance,10,2424.1967360027893,{np.float64(35513.738377286485)},0.9953404610945089
4,5,distance,30,2424.1220954201845,{np.float64(35513.738377286485)},0.9953407480228256
5,5,distance,50,2424.1220954201845,{np.float64(35513.738377286485)},0.9953407480228256
6,10,uniform,10,29392.8908429202,{np.float64(35513.738377286485)},0.3149980282389564
7,10,uniform,30,29388.580021934446,{np.float64(35513.738377286485)},0.3151989410617372
8,10,uniform,50,29388.580021934446,{np.float64(35513.738377286485)},0.3151989410617372
9,10,distance,10,2402.622196000831,{np.float64(35513.738377286485)},0.995423028715253
10,10,distance,30,2402.6189686914618,{np.float64(35513.738377286485)},0.9954230410112289
11,10,distance,50,2402.6189686914618,{np.float64(35513.738377286485)},0.9954230410112289
12,20,uniform,10,32451.954191727462,{np.float64(35513.738377286485)},0.16499528746952885
13,20,uniform,30,32452.01832835979,{np.float64(35513.738377286485)},0.1649919869321963
14,20,uniform,50,32452.01832835979,{np.float64(35513.738377286485)},0.1649919869321963
15,20,distance,10,2398.5312114333647,{np.float64(35513.738377286485)},0.9954386020149744
16,20,distance,30,2398.5313088362154,{np.float64(35513.738377286485)},0.9954386016445034
17,20,distance,50,2398.5313088362154,{np.float64(35513.738377286485)},0.9954386016445034
