,trees,max_depth,min_samples,feature_subset_size,RMSE,Std. Dev.,R_squared
0,50,20,10,5,15650.057172109224,35453.32253266199,0.8051421198392508
1,50,20,10,5,22557.804664215986,35453.32253266199,0.5951633895651498
2,50,20,10,5,12257.70768123492,35453.32253266199,0.8804623710935978
3,50,20,10,5,14733.349207725272,35453.32253266199,0.8273012946527161
4,50,20,10,5,12879.332162116305,35453.32253266199,0.8680307329648043
5,50,20,10,5,18881.841329775274,35453.32253266199,0.7163552142532701
6,50,20,10,5,18332.09608945121,35453.32253266199,0.7326314217436529
7,50,20,10,5,14172.23343568903,35453.32253266199,0.8402051748017829
8,50,20,10,5,14228.703251977693,35453.32253266199,0.8389292203976022
9,50,20,10,5,16483.795082573968,35453.32253266199,0.7838274574147204
