,trees,max_depth,min_samples,feature_subset_size,RMSE,Std. Dev.,R_squared
0,70,20,10,5,11500.14406430485,35453.32253266199,0.8947813613487225
1,70,20,10,5,13028.634871604141,35453.32253266199,0.864953310344472
2,70,20,10,5,11980.030565554112,35453.32253266199,0.8858168633804928
3,70,20,10,5,10681.704370090974,35453.32253266199,0.9092247977906311
4,70,20,10,5,12752.116378295294,35453.32253266199,0.8706249139129664
5,70,20,10,5,13308.242743386507,35453.32253266199,0.8590946300923046
6,70,20,10,5,13408.550945053468,35453.32253266199,0.8569625333925459
7,70,20,10,5,9213.983423884432,35453.32253266199,0.9324569030243379
8,70,20,10,5,11156.618522383847,35453.32253266199,0.900973533245055
9,70,20,10,5,13428.587063653207,35453.32253266199,0.856534738189924
