,trees,max_depth,min_samples,feature_subset_size,RMSE,Std. Dev.,R_squared
0,70,70,10,5,14763.953064220314,35453.32253266199,0.8265830960229765
1,70,70,10,5,14493.53851285816,35453.32253266199,0.8328774804429143
2,70,70,10,5,12962.351080843546,35453.32253266199,0.8663239276436516
3,70,70,10,5,16727.81793013635,35453.32253266199,0.7773797313751877
4,70,70,10,5,12577.397426013518,35453.32253266199,0.8741458082108043
5,70,70,10,5,15426.914095983802,35453.32253266199,0.8106591863387558
6,70,70,10,5,15967.159971784178,35453.32253266199,0.7971656663886661
7,70,70,10,5,15178.319039920207,35453.32253266199,0.8167122368245074
8,70,70,10,5,14473.351108566976,35453.32253266199,0.8333427112460856
9,70,70,10,5,15235.858904568324,35453.32253266199,0.8153199425563188
