,model,score,std_dev,r2,num_boost_round,epochs,batch_size,lr
0,XGBoost Regressor,2626.836406249997,,,1864.0,,,
1,XGBoost Regressor,2626.836406249997,,,1209.0,,,
2,XGBoost Regressor,2626.836406249997,,,1410.0,,,
3,XGBoost Regressor,2626.836406249997,,,1923.0,,,
4,XGBoost Regressor,2626.836406249997,,,1233.0,,,
5,Logistic Regressor,33358.17654826164,,,,370.0,256.0,0.0003
6,Logistic Regressor,33348.18989803314,,,,370.0,256.0,0.003
7,Logistic Regressor,33357.5202797842,,,,370.0,256.0,0.0003
8,Logistic Regressor,33357.168387432095,,,,370.0,256.0,0.0003
9,Logistic Regressor,33357.237144608494,,,,370.0,256.0,0.0003
10,Logistic Regressor,33357.98884578466,,,,370.0,256.0,0.0003
11,MLP Regressor,33358.41894983172,,,,90.0,64.0,0.0001
12,MLP Regressor,33357.99094118595,,,,90.0,64.0,0.0001
13,MLP Regressor,33358.17423381328,,,,90.0,32.0,0.0001
14,MLP Regressor,33355.132169027325,,,,230.0,32.0,0.0001
15,MLP Regressor,33354.54403259277,,,,280.0,32.0,0.0001
16,MLP Regressor,33354.16670181274,,,,300.0,32.0,0.0001
17,MLP Regressor,33357.580726642605,,,,140.0,32.0,0.0001
18,MLP Regressor,33350.82943441391,,,,310.0,32.0,0.0001
19,MLP Regressor,33352.71049453735,,,,310.0,128.0,0.0001
20,MLP Regressor,33349.027467269894,,,,400.0,128.0,0.0001
21,MLP Regressor,33355.46889140129,,,,230.0,128.0,0.0001
22,MLP Regressor,33355.31725408554,,,,230.0,128.0,0.0001
23,MLP Regressor,31896.32444335937,,,,230.0,128.0,0.001
24,MLP Regressor,32259.618022460934,,,,230.0,128.0,0.001
25,MLP Regressor,30622.86985351562,,,,270.0,128.0,0.001
26,MLP Regressor,30454.115214843747,,,,270.0,256.0,0.001
27,MLP Regressor,30874.054667968747,,,,280.0,256.0,0.001
28,XGBoost Regressor,2626.836406249997,,,1543.0,,,
29,XGBoost Regressor,2626.836406249997,,,1226.0,,,
30,XGBoost Regressor,2626.836406249997,,,1245.0,,,
31,XGBoost Regressor,2626.836406249997,,,710.0,,,
32,XGBoost Regressor,2626.836406249997,,,1610.0,,,
33,XGBoost Regressor,2626.836406249997,,,1060.0,,,
34,XGBoost Regressor,2626.836406249997,,,1822.0,,,
35,XGBoost Regressor,2626.836406249997,,,1495.0,,,
36,XGBoost Regressor,2626.836406249997,,,1533.0,,,
37,XGBoost Regressor,2626.836406249997,,,1752.0,,,
38,XGBoost Regressor,2626.836406249997,,,1758.0,,,
39,FNN Regressor,33350.66589691162,,,,230.0,16.0,0.001
40,FNN Regressor,33353.10234167099,,,,230.0,32.0,0.001
41,FNN Regressor,33349.39685012817,,,,230.0,32.0,0.001
42,LightGBM Regressor,7293.592265624997,,,1157.0,,,
43,MLP Regressor,30956.34299804687,,,,280.0,64.0,0.001
44,MLP Regressor,21535.210429687497,,,,470.0,64.0,0.001
45,MLP Regressor,2508.516093749997,,,,470.0,64.0,0.003
46,MLP Regressor,1944.4047656249968,,,,470.0,64.0,0.003
47,MLP Regressor,20961.757304687497,,,,470.0,64.0,0.001
48,Logistic Regressor,33358.27229242444,,,,370.0,128.0,0.0003
49,Logistic Regressor,33357.75493802547,,,,490.0,128.0,0.0003
50,LightGBM Regressor,7293.592265624997,,,1876.0,,,
51,LightGBM Regressor,7293.592265624997,,,1298.0,,,
52,LightGBM Regressor,7293.592265624997,,,1227.0,,,
53,Logistic Regressor,33358.31203113913,,,,390.0,128.0,0.0003
54,Logistic Regressor,33358.30514266014,,,,390.0,256.0,0.0003
55,XGBoost Regressor,2626.836406249997,,,1793.0,,,
56,XGBoost Regressor,2626.836406249997,,,1888.0,,,
57,XGBoost Regressor,2626.836406249997,,,1313.0,,,
58,XGBoost Regressor,2626.836406249997,,,1354.0,,,
59,XGBoost Regressor,2626.836406249997,,,821.0,,,
60,FNN Regressor,33351.286808032986,,,,230.0,16.0,0.001
61,FNN Regressor,33353.574357051846,,,,180.0,16.0,0.001
62,FNN Regressor,33358.835790534016,,,,180.0,16.0,0.0001
63,FNN Regressor,33327.57334281921,,,,180.0,16.0,0.003
